"x"
"1" "tDCS Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.232,0.043,71.923,5.412,0
"conditiondrug",0.141,0.022,452,6.456,0
"time",0.014,0.014,452,1,0.318
"motion",-1.12,0.357,63,-3.14,0.003
"conditiondrug:time",-0.004,0.019,452,-0.2,0.842
"x"
"1" "Neurocaps MCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.054,0.082,30.904,0.662,0.513
"conditiondrug",0.085,0.043,28,1.998,0.056
"time",0.021,0.024,172,0.874,0.384
"motion",-0.14,0.717,27,-0.195,0.847
"conditiondrug:time",-0.052,0.034,172,-1.521,0.13
"x"
"1" "Neurocaps OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.077,0.074,26.258,1.042,0.307
"conditiondrug",0.093,0.055,21,1.685,0.107
"time",0.02,0.028,130,0.732,0.465
"motion",0.3,0.567,20,0.529,0.602
"conditiondrug:time",0.011,0.039,130,0.283,0.778
"x"
"1" "tACS OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.018,0.103,22.307,0.172,0.865
"conditiondrug",0.12,0.048,21,2.505,0.021
"time",-0.058,0.028,130.002,-2.045,0.043
"motion",1.377,1.01,20.001,1.364,0.188
"conditiondrug:time",0.078,0.04,130.002,1.94,0.055
