"x"
"1" "tDCS Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.008,0.05,77.949,-0.167,0.868
"conditiondrug",-0.044,0.032,452,-1.377,0.169
"time",0.1,0.02,452,4.954,0
"motion",-0.801,0.407,63,-1.967,0.054
"conditiondrug:time",-0.152,0.029,452,-5.335,0
"x"
"1" "Neurocaps MCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.17,0.104,32.828,-1.63,0.113
"conditiondrug",-0.182,0.064,200,-2.854,0.005
"time",0.079,0.04,200,1.951,0.052
"motion",1.862,0.899,27,2.07,0.048
"conditiondrug:time",-0.108,0.057,200,-1.889,0.06
"x"
"1" "Neurocaps OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.007,0.096,24.597,0.074,0.941
"conditiondrug",-0.113,0.06,151,-1.874,0.063
"time",0.131,0.038,151,3.451,0.001
"motion",-0.286,0.747,20,-0.383,0.706
"conditiondrug:time",-0.176,0.054,151,-3.271,0.001
"x"
"1" "tACS OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.036,0.148,21.553,-0.244,0.81
"conditiondrug",-0.124,0.057,151,-2.186,0.03
"time",0.015,0.036,151,0.41,0.682
"motion",0.315,1.47,20,0.214,0.832
"conditiondrug:time",-0.022,0.051,151,-0.44,0.66
