"x"
"1" "tDCS Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.095,0.036,78.266,2.647,0.01
"conditiondrug",0.12,0.023,452,5.174,0
"time",0.027,0.015,452,1.872,0.062
"motion",-1.216,0.292,63,-4.167,0
"conditiondrug:time",-0.072,0.021,452,-3.473,0.001
"x"
"1" "Neurocaps MCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.14,0.083,30.089,-1.679,0.104
"conditiondrug",0.085,0.038,200,2.217,0.028
"time",0.053,0.024,200,2.179,0.031
"motion",0.953,0.734,27,1.298,0.205
"conditiondrug:time",-0.079,0.034,200,-2.3,0.022
"x"
"1" "Neurocaps OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.058,0.092,23.469,0.625,0.538
"conditiondrug",0.108,0.051,151,2.117,0.036
"time",0.032,0.032,151,0.976,0.331
"motion",-0.723,0.728,20,-0.993,0.332
"conditiondrug:time",-0.121,0.046,151,-2.643,0.009
"x"
"1" "tACS OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.063,0.084,22.496,-0.752,0.46
"conditiondrug",-0.006,0.04,151,-0.158,0.875
"time",-0.012,0.025,151,-0.46,0.646
"motion",0.54,0.824,20,0.656,0.52
"conditiondrug:time",0.027,0.036,151,0.755,0.451
