"x"
"1" "tDCS Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.005,0.047,73.685,-0.099,0.921
"conditiondrug",-0.147,0.026,64,-5.587,0
"time",-0.037,0.016,388,-2.345,0.02
"motion",-0.57,0.388,63,-1.471,0.146
"conditiondrug:time",-0.009,0.022,388,-0.408,0.683
"x"
"1" "Neurocaps MCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.074,0.099,31.052,-0.753,0.457
"conditiondrug",-0.165,0.051,200,-3.215,0.002
"time",-0.013,0.033,200,-0.403,0.687
"motion",-0.031,0.865,27,-0.035,0.972
"conditiondrug:time",-0.012,0.046,200,-0.255,0.799
"x"
"1" "Neurocaps OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.059,0.094,25.221,-0.622,0.54
"conditiondrug",-0.148,0.065,21,-2.291,0.032
"time",-0.026,0.03,130,-0.868,0.387
"motion",0.296,0.73,20,0.406,0.689
"conditiondrug:time",-0.01,0.042,130,-0.247,0.805
"x"
"1" "tACS OCR Model Output"
"Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.087,0.108,23.218,-0.804,0.43
"conditiondrug",-0.161,0.059,21,-2.726,0.013
"time",-0.017,0.033,130,-0.502,0.617
"motion",0.047,1.051,20,0.045,0.964
"conditiondrug:time",-0.005,0.047,130,-0.117,0.907
