"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.0944909447746078,0.0116611282850704,"drugVneutral","Discovery Sample",0.0716351333358697,0.117346756213346,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",0.00720007914392166,0.0122064164720191,"drugVneutralXtime","Discovery Sample",-0.0167244971412357,0.031124655429079,"DiscoverySample"
"tr_centered + tr_centered:neutral",-0.0130607922803785,0.00859054188028295,"Time","Discovery Sample",-0.0298982543657331,0.00377666980497606,"DiscoverySample"
"drug - neutral1",0.0615761185350913,0.0213306261890188,"drugVneutral","Replication Sample 1",0.0197680912046144,0.103384145865568,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.00689364830281488,0.0219981284140074,"drugVneutralXtime","Replication Sample 1",-0.0500099799942693,0.0362226833886395,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.00271866066256586,0.0155362782526777,"Time","Replication Sample 1",-0.0277324447126825,0.0331697660378142,"ReplicationSample1"
"drug - neutral2",0.0664726957089925,0.0241630856608565,"drugVneutral","Replication Sample 2",0.0191130478137136,0.113832343604271,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.00283457505855579,0.0253763011721711,"drugVneutralXtime","Replication Sample 2",-0.0525721253560112,0.0469029752388996,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0086292918386833,0.0178847169756919,"Time","Replication Sample 2",-0.0264247534336728,0.0436833371110394,"ReplicationSample2"
"drug - neutral3",0.0873397641281052,0.0248766533220588,"drugVneutral","Sample 2-Retest",0.03858152361687,0.13609800463934,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",0.0507425545676657,0.0261047147033689,"drugVneutralXtime","Sample 2-Retest",-0.000422686250937457,0.101907795386269,"Sample2Retest"
"tr_centered + tr_centered:neutral3",-0.0328457369624411,0.0185129903878981,"Time","Sample 2-Retest",-0.0691311981227214,0.00343972419783919,"Sample2Retest"
