"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",-0.0529354570988995,0.0163154741975083,"drugVneutral","Discovery Sample",-0.0849137865260157,-0.0209571276717832,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.0973394877154172,0.0170860765286964,"drugVneutralXtime","Discovery Sample",-0.130828197711662,-0.0638507777191723,"DiscoverySample"
"tr_centered + tr_centered:neutral",0.0635524970607272,0.0120336489585214,"Time","Discovery Sample",0.0399665451020253,0.0871384490194292,"DiscoverySample"
"drug - neutral1",-0.136266066953418,0.025264309177539,"drugVneutral","Replication Sample 1",-0.185784112941394,-0.0867480209654417,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0508034960891175,0.0260535120655671,"drugVneutralXtime","Replication Sample 1",-0.101868379737629,0.000261387559394081,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0454749596503085,0.0184272574977814,"Time","Replication Sample 1",0.00935753495465702,0.0815923843459601,"ReplicationSample1"
"drug - neutral2",-0.0891292026162842,0.0380698783542437,"drugVneutral","Replication Sample 2",-0.163746164190602,-0.0145122410419665,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.125554347686064,0.0399758624670615,"drugVneutralXtime","Replication Sample 2",-0.203907038121504,-0.0472016572506232,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0945014059744096,0.028169188321486,"Time","Replication Sample 2",0.0392897968642971,0.149713015084522,"ReplicationSample2"
"drug - neutral3",-0.112054192348664,0.0311329140420445,"drugVneutral","Sample 2-Retest",-0.173074703871071,-0.051033680826257,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.0476086490889475,0.0327004903607091,"drugVneutralXtime","Sample 2-Retest",-0.111701610195937,0.0164843120180423,"Sample2Retest"
"tr_centered + tr_centered:neutral3",0.0324153868426078,0.0232071367543616,"Time","Sample 2-Retest",-0.0130706011959409,0.0779013748811565,"Sample2Retest"
