"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.0851619451775942,0.0130779468447265,"drugVneutral","Discovery Sample",0.0595291693619303,0.110794720993258,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.0485776329934826,0.0136953253949276,"drugVneutralXtime","Discovery Sample",-0.0754204707675408,-0.0217347952194244,"DiscoverySample"
"tr_centered + tr_centered:neutral",0.0150631205764423,0.00964346379067707,"Time","Discovery Sample",-0.00383806845328474,0.0339643096061694,"DiscoverySample"
"drug - neutral1",0.0491482161300364,0.0192448400576947,"drugVneutral","Replication Sample 1",0.0114283296169547,0.086868102643118,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0469530912278618,0.01984600959092,"drugVneutralXtime","Replication Sample 1",-0.085851270026065,-0.00805491242965853,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0323995408280625,0.0140361679560914,"Time","Replication Sample 1",0.00488865163412343,0.0599104300220016,"ReplicationSample1"
"drug - neutral2",0.0819625035996132,0.027267747664563,"drugVneutral","Replication Sample 2",0.0285177181770698,0.135407289022157,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.0635231223518845,0.02862785770407,"drugVneutralXtime","Replication Sample 2",-0.119633723451862,-0.00741252125190734,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.021577598104782,0.0201835917865151,"Time","Replication Sample 2",-0.0179822417967875,0.0611374380063516,"ReplicationSample2"
"drug - neutral3",-0.0057010867686131,0.0228570572148444,"drugVneutral","Sample 2-Retest",-0.0505009189097081,0.0390987453724819,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.00288843972472683,0.0240042315587771,"drugVneutralXtime","Sample 2-Retest",-0.0499367335799299,0.0441598541304763,"Sample2Retest"
"tr_centered + tr_centered:neutral3",0.00219021827481895,0.0170294580306968,"Time","Sample 2-Retest",-0.0311875194653467,0.0355679560149846,"Sample2Retest"
