"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.199786852722731,0.0188261175399967,"drugVneutral","Discovery Sample",0.162887662344338,0.236686043101125,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.062604642429938,0.0197114783267774,"drugVneutralXtime","Discovery Sample",-0.101239139950422,-0.0239701449094542,"DiscoverySample"
"tr_centered + tr_centered:neutral",-0.00656720618162233,0.0138755371409341,"Time","Discovery Sample",-0.0337632589778531,0.0206288466146085,"DiscoverySample"
"drug - neutral1",0.15352657679717,0.0250829017584291,"drugVneutral","Replication Sample 1",0.104364089350649,0.202689064243691,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0536418524425622,0.025866648009534,"drugVneutralXtime","Replication Sample 1",-0.104340482541249,-0.00294322234387544,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0315816009889791,0.0182864132756741,"Time","Replication Sample 1",-0.00425976903134209,0.0674229710093004,"ReplicationSample1"
"drug - neutral2",0.125664332680723,0.031573901036963,"drugVneutral","Replication Sample 2",0.0637794866482753,0.18754917871317,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.0763852634832682,0.0331456697279376,"drugVneutralXtime","Replication Sample 2",-0.141350776150026,-0.0114197508165106,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0224929973784577,0.0233644021169366,"Time","Replication Sample 2",-0.0233012307707381,0.0682872255276535,"ReplicationSample2"
"drug - neutral3",0.0585255177955251,0.0284670869630774,"drugVneutral","Sample 2-Retest",0.00273002734789343,0.114321008243157,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.0275014420279304,0.0298913732545785,"drugVneutralXtime","Sample 2-Retest",-0.0860885336069043,0.0310856495510436,"Sample2Retest"
"tr_centered + tr_centered:neutral3",-0.000365441027576564,0.0212013633690358,"Time","Sample 2-Retest",-0.0419201132308868,0.0411892311757337,"Sample2Retest"
