"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",-0.0779914913102709,0.014191907034647,"drugVneutral","Discovery Sample",-0.105807629098179,-0.0501753535223628,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.0133901053387131,0.01485069632488,"drugVneutralXtime","Discovery Sample",-0.0424974701354779,0.0157172594580517,"DiscoverySample"
"tr_centered + tr_centered:neutral",-0.00888672164367661,0.0104493060375112,"Time","Discovery Sample",-0.0293673614771986,0.0115939181898454,"DiscoverySample"
"drug - neutral1",-0.0758662304254657,0.0230012160494258,"drugVneutral","Replication Sample 1",-0.12094861388234,-0.0307838469685911,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",0.00576775360683294,0.0237206448220647,"drugVneutralXtime","Replication Sample 1",-0.0407247102444138,0.0522602174580797,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",-0.00993653180250595,0.0167449069056059,"Time","Replication Sample 1",-0.0427565493374936,0.0228834857324817,"ReplicationSample1"
"drug - neutral2",-0.0793233363490121,0.0282759621304025,"drugVneutral","Replication Sample 2",-0.134744222124601,-0.0239024505734232,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.021895836409693,0.0296975194306955,"drugVneutralXtime","Replication Sample 2",-0.0801029744938562,0.0363113016744702,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",-0.00519339227380059,0.0209273725149675,"Time","Replication Sample 2",-0.0462110424031369,0.0358242578555357,"ReplicationSample2"
"drug - neutral3",-0.0830034958227761,0.0299071840389949,"drugVneutral","Sample 2-Retest",-0.141621576539206,-0.0243854151063461,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.0208487366736814,0.0313718502004411,"drugVneutralXtime","Sample 2-Retest",-0.0823375630665459,0.040640089719183,"Sample2Retest"
"tr_centered + tr_centered:neutral3",-0.00183407878404743,0.0222609214460601,"Time","Sample 2-Retest",-0.0454654848183251,0.0417973272502303,"Sample2Retest"
