"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.118668234824624,0.0119066458631473,"drugVneutral","Discovery Sample",0.0953312089328557,0.142005260716393,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",0.023059111476787,0.012461989699457,"drugVneutralXtime","Discovery Sample",-0.00136638833414876,0.0474846112877227,"DiscoverySample"
"tr_centered + tr_centered:neutral",-0.022525576292755,0.00876896342873329,"Time","Discovery Sample",-0.0397127446130722,-0.00533840797243771,"DiscoverySample"
"drug - neutral1",0.126613491412548,0.0195621582754014,"drugVneutral","Replication Sample 1",0.0882716611927613,0.164955321632335,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0117706441119174,0.0201743140350786,"drugVneutralXtime","Replication Sample 1",-0.0513122996206715,0.0277710113968366,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",-0.000193470372007523,0.0142503436851742,"Time","Replication Sample 1",-0.0281241439949489,0.0277372032509339,"ReplicationSample1"
"drug - neutral2",0.0673743652400283,0.0247582019805131,"drugVneutral","Replication Sample 2",0.0188482893582226,0.115900441121834,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.0196138425092927,0.0260015096644297,"drugVneutralXtime","Replication Sample 2",-0.0705768014515749,0.0313491164329895,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0147826972154938,0.0183225874098667,"Time","Replication Sample 2",-0.0211295741078449,0.0506949685388325,"ReplicationSample2"
"drug - neutral3",0.0628803843554536,0.026052190698324,"drugVneutral","Sample 2-Retest",0.0118180905867385,0.113942678124169,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",0.0431682626045727,0.0273308697453085,"drugVneutralXtime","Sample 2-Retest",-0.0104002420962321,0.0967367673053774,"Sample2Retest"
"tr_centered + tr_centered:neutral3",-0.0324764303391434,0.019389368404948,"Time","Sample 2-Retest",-0.0704795924128415,0.0055267317345546,"Sample2Retest"
