"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",-0.0491478617233614,0.0156298093843337,"drugVneutral","Discovery Sample",-0.0797822881166555,-0.0185134353300674,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.0940353384448261,0.0163644314259965,"drugVneutralXtime","Discovery Sample",-0.126109624039779,-0.061961052849873,"DiscoverySample"
"tr_centered + tr_centered:neutral",0.059562382648262,0.0115198508543524,"Time","Discovery Sample",0.0369834749737313,0.0821412903227927,"DiscoverySample"
"drug - neutral1",-0.13129050690094,0.0280960124551933,"drugVneutral","Replication Sample 1",-0.186358691313119,-0.0762223224887615,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0668849475273201,0.0289747550292062,"drugVneutralXtime","Replication Sample 1",-0.123675467384564,-0.010094427670076,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0506201236512908,0.020471462340288,"Time","Replication Sample 1",0.0104960574643264,0.0907441898382552,"ReplicationSample1"
"drug - neutral2",-0.0628961736161875,0.0324386118966059,"drugVneutral","Replication Sample 2",-0.126475852933535,0.000683505701159964,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.087549550977806,0.034067831189627,"drugVneutralXtime","Replication Sample 2",-0.154322500109475,-0.020776601846137,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0683448176186793,0.0240062252962534,"Time","Replication Sample 2",0.0212926160380226,0.115397019199336,"ReplicationSample2"
"drug - neutral3",-0.114426063521215,0.0298238559444657,"drugVneutral","Sample 2-Retest",-0.172880821172367,-0.0559713058700618,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.0435127857993837,0.0313067231501862,"drugVneutralXtime","Sample 2-Retest",-0.104873963173749,0.0178483915749813,"Sample2Retest"
"tr_centered + tr_centered:neutral3",0.0249221103862705,0.0222012373143044,"Time","Sample 2-Retest",-0.0185923147497661,0.0684365355223071,"Sample2Retest"
