"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.0722749248241749,0.0118454211842327,"drugVneutral","Discovery Sample",0.0490578993030787,0.0954919503452711,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.0448249459894062,0.012404735857969,"drugVneutralXtime","Discovery Sample",-0.0691382282710254,-0.0205116637077871,"DiscoverySample"
"tr_centered + tr_centered:neutral",0.0108017221310467,0.00873499498240833,"Time","Discovery Sample",-0.00631886803447361,0.027922312296567,"DiscoverySample"
"drug - neutral1",0.0416893024286691,0.0174085134482189,"drugVneutral","Replication Sample 1",0.00756861607016011,0.0758099887871782,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0319482544111526,0.0179524888750729,"drugVneutralXtime","Replication Sample 1",-0.0671351326062954,0.00323862378399021,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0183336960911794,0.012694314985932,"Time","Replication Sample 1",-0.00654716128124742,0.0432145534636062,"ReplicationSample1"
"drug - neutral2",0.054397860452717,0.0250027733359907,"drugVneutral","Replication Sample 2",0.00539242471417527,0.103403296191259,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.0706179374480156,0.0262538633565695,"drugVneutralXtime","Replication Sample 2",-0.122075509626892,-0.0191603652691394,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0211571597289955,0.0185059186129036,"Time","Replication Sample 2",-0.0151144407522956,0.0574287602102866,"ReplicationSample2"
"drug - neutral3",0.00958220591293134,0.0204362114922611,"drugVneutral","Sample 2-Retest",-0.0304727686119003,0.049637180437763,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.00476142382625345,0.0214617696722262,"drugVneutralXtime","Sample 2-Retest",-0.0468264923838167,0.0373036447313098,"Sample2Retest"
"tr_centered + tr_centered:neutral3",-0.00110109792875042,0.0152263863872436,"Time","Sample 2-Retest",-0.0309448152477478,0.028742619390247,"Sample2Retest"
