"","beta","se","effect","task","lower","upper","task_nospace"
"drug - neutral",0.142758974699748,0.0227180281892327,"drugVneutral","Discovery Sample",0.0982316394488521,0.187286309950644,"DiscoverySample"
"drug:tr_centered - tr_centered:neutral",-0.125824922279473,0.02376339579488,"drugVneutralXtime","Discovery Sample",-0.172401178037438,-0.0792486665215086,"DiscoverySample"
"tr_centered + tr_centered:neutral",0.035599462763353,0.0167311649737634,"Time","Discovery Sample",0.00280637941477681,0.0683925461119292,"DiscoverySample"
"drug - neutral1",0.109314969486463,0.0277377765475936,"drugVneutral","Replication Sample 1",0.0549489274531796,0.163681011519747,"ReplicationSample1"
"drug:tr_centered - tr_centered:neutral1",-0.0692254606160007,0.0286046905833211,"drugVneutralXtime","Replication Sample 1",-0.12529065415931,-0.0131602670726915,"ReplicationSample1"
"tr_centered + tr_centered:neutral1",0.0373789849887229,0.0201982458110498,"Time","Replication Sample 1",-0.0022095768009347,0.0769675467783805,"ReplicationSample1"
"drug - neutral2",0.125600400276818,0.046724515409854,"drugVneutral","Replication Sample 2",0.0340203500735044,0.217180450480132,"ReplicationSample2"
"drug:tr_centered - tr_centered:neutral2",-0.15772340092542,0.0490575291051228,"drugVneutralXtime","Replication Sample 2",-0.25387615797146,-0.061570643879379,"ReplicationSample2"
"tr_centered + tr_centered:neutral2",0.0618847786755736,0.0346980335841229,"Time","Replication Sample 2",-0.00612336714930733,0.129892924500455,"ReplicationSample2"
"drug - neutral3",-0.0363732862638356,0.0388352843459669,"drugVneutral","Sample 2-Retest",-0.112490443581931,0.0397438710542595,"Sample2Retest"
"drug:tr_centered - tr_centered:neutral3",-0.0307814067147281,0.0407429662312461,"drugVneutralXtime","Sample 2-Retest",-0.11063762052797,0.0490748070985142,"Sample2Retest"
"tr_centered + tr_centered:neutral3",0.00909193230300119,0.0288981202680297,"Time","Sample 2-Retest",-0.047548383422337,0.0657322480283394,"Sample2Retest"
