"","beta","se","effect","task","lower","upper"
"conditiondrug",1.31928915606836,0.0786217579644966,"Drug>Neutral","Discovery Sample",1.16519051045794,1.47338780167877
"conditiondrug:time",-0.10600350062506,0.0432701555631915,"Interaction","Discovery Sample",-0.190813005528915,-0.0211939957212049
"time",0.182362717576453,0.0310647868746158,"Time","Discovery Sample",0.121475735302206,0.2432496998507
"conditiondrug1",1.29013673816822,0.16736595400724,"Drug>Neutral","Replication Sample 1",0.962099468314033,1.61817400802241
"conditiondrug:time1",-0.0199100921282836,0.0457085272224945,"Interaction","Replication Sample 1",-0.109498805484373,0.0696786212278057
"time1",0.0406247274687536,0.0322104354933271,"Time","Replication Sample 1",-0.0225077260981675,0.103757181035675
"conditiondrug2",1.91697524181331,0.147108993578888,"Drug>Neutral","Replication Sample 2",1.62864161439869,2.20530886922793
"conditiondrug:time2",-0.0549157447214267,0.0591413165234774,"Interaction","Replication Sample 2",-0.170832725107442,0.061001235664589
"time2",0.141089208390195,0.041818855505585,"Time","Replication Sample 2",0.059124251599248,0.223054165181141
"conditiondrug3",1.94616103786706,0.15383447136097,"Drug>Neutral","Sample 2-Retest",1.64464547399956,2.24767660173457
"conditiondrug:time3",-0.0264510432072557,0.0572977709035653,"Interaction","Sample 2-Retest",-0.138754674178244,0.0858525877637324
"time3",0.172838193008156,0.0402457765260907,"Time","Sample 2-Retest",0.0939564710170186,0.251719914999294
