"","beta","se","effect","task","lower","upper"
"conditiondrug",0.673147148622446,0.115224900178564,"Drug>Neutral","Discovery Sample",0.44730634427246,0.898987952972432
"conditiondrug:time",-0.112137726979181,0.0748130966927612,"Interaction","Discovery Sample",-0.258771396496993,0.0344959425386307
"time",0.100546070810994,0.0491548332944816,"Time","Discovery Sample",0.00420259755381029,0.196889544068178
"conditiondrug1",0.833423789866804,0.167038835466424,"Drug>Neutral","Replication Sample 1",0.506027672352612,1.160819907381
"conditiondrug:time1",-0.484529281970778,0.126432259362072,"Interaction","Replication Sample 1",-0.732336510320439,-0.236722053621118
"time1",-0.0527238617730475,0.0764063822764697,"Time","Replication Sample 1",-0.202480371034928,0.0970326474888331
"conditiondrug2",0.263773173595706,0.160062279186746,"Drug>Neutral","Replication Sample 2",-0.0499488936103161,0.577495240801727
"conditiondrug:time2",-0.252314280787512,0.104429441689541,"Interaction","Replication Sample 2",-0.456995986499012,-0.0476325750760121
"time2",0.0384184963837908,0.0724818156129961,"Time","Replication Sample 2",-0.103645862217681,0.180482854985263
"conditiondrug3",0.394453746165053,0.119262391817251,"Drug>Neutral","Sample 2-Retest",0.160699458203242,0.628208034126864
"conditiondrug:time3",-0.0910396271633096,0.0992367461154259,"Interaction","Sample 2-Retest",-0.285543649549544,0.103464395222925
"time3",-0.0446502978677066,0.0685792177969535,"Time","Sample 2-Retest",-0.179065564749735,0.0897649690143222
