"","beta","se","effect","task","lower","upper"
"conditiondrug",0.140665488461539,0.0217893231271715,"Drug>Neutral","Discovery Sample",0.0979584151322833,0.183372561790796
"conditiondrug:time",-0.00389063230769235,0.0194889630723243,"Interaction","Discovery Sample",-0.042088999929448,0.0343077353140634
"time",0.0137838338461539,0.0137807779467347,"Time","Discovery Sample",-0.0132264909294462,0.040794158621754
"conditiondrug1",0.0850872327586207,0.0425964734573284,"Drug>Neutral","Replication Sample 1",0.00159814478225699,0.168576320734984
"conditiondrug:time1",-0.0520464034482759,0.0342225228393149,"Interaction","Replication Sample 1",-0.119122548213333,0.0150297413167813
"time1",0.0211400275862069,0.0241989779689911,"Time","Replication Sample 1",-0.0262899692330156,0.0685700244054294
"conditiondrug2",0.0929061022727273,0.0551505532164871,"Drug>Neutral","Replication Sample 2",-0.0151889820315875,0.201001186577042
"conditiondrug:time2",0.0110531681818182,0.0390930010131038,"Interaction","Replication Sample 2",-0.0655691138038652,0.0876754501675016
"time2",0.0202408681818182,0.0276429261132983,"Time","Replication Sample 2",-0.0339392670002464,0.0744210033638828
"conditiondrug3",0.120431920454545,0.048079008277134,"Drug>Neutral","Sample 2-Retest",0.0261970642313628,0.214666776677728
"conditiondrug:time3",0.0776918863636363,0.0400486020084721,"Interaction","Sample 2-Retest",-0.000803373572969057,0.156187146300242
"time3",-0.0579242454545454,0.0283186380572318,"Time","Sample 2-Retest",-0.11342877604672,-0.00241971486237105
