"","beta","se","effect","task","lower","upper"
"conditiondrug",-0.0439881884615385,0.031940704081587,"Drug>Neutral","Discovery Sample",-0.106591968461449,0.0186155915383721
"conditiondrug:time",-0.152424303076923,0.0285686342302534,"Interaction","Discovery Sample",-0.20841882616822,-0.0964297799856264
"time",0.100069886153846,0.0202010749934503,"Time","Discovery Sample",0.0604757791666836,0.139663993141009
"conditiondrug1",-0.181965620689655,0.063762792718488,"Drug>Neutral","Replication Sample 1",-0.306940694417891,-0.0569905469614181
"conditiondrug:time1",-0.107755586206897,0.0570311755815066,"Interaction","Replication Sample 1",-0.219536690346649,0.00402551793285641
"time1",0.0786635655172414,0.040327130992724,"Time","Replication Sample 1",-0.000377611228497568,0.15770474226298
"conditiondrug2",-0.112810295454545,0.0602092267781362,"Drug>Neutral","Replication Sample 2",-0.230820379939692,0.00519978903060161
"conditiondrug:time2",-0.176161763636364,0.0538527695794453,"Interaction","Replication Sample 2",-0.281713192012076,-0.0706103352606508
"time2",0.131430513636364,0.0380796585553024,"Time","Replication Sample 2",0.0567943828679709,0.206066644404756
"conditiondrug3",-0.124459272727273,0.0569467472521368,"Drug>Neutral","Sample 2-Retest",-0.236074897341461,-0.0128436481130847
"conditiondrug:time3",-0.0224350363636363,0.0509347191813109,"Interaction","Sample 2-Retest",-0.122267085959006,0.077397013231733
"time3",0.0147611409090909,0.0360162853309374,"Time","Sample 2-Retest",-0.0558307783395465,0.0853530601577283
