"","beta","se","effect","task","lower","upper"
"conditiondrug",0.119601746153846,0.0231147016413365,"Drug>Neutral","Discovery Sample",0.0742969309368267,0.164906561370866
"conditiondrug:time",-0.0718064984615384,0.0206744176598617,"Interaction","Discovery Sample",-0.112328357074867,-0.0312846398482094
"time",0.0273694123076923,0.0146190209243712,"Time","Discovery Sample",-0.00128386870407515,0.0560226933194598
"conditiondrug1",0.0848223017241381,0.0382644312172755,"Drug>Neutral","Replication Sample 1",0.00982401653827815,0.159820586909998
"conditiondrug:time1",-0.0787294793103448,0.0342247477288772,"Interaction","Replication Sample 1",-0.145809984858944,-0.0116489737617455
"time1",0.0527298068965517,0.024200551203488,"Time","Replication Sample 1",0.00529672653771529,0.100162887255388
"conditiondrug2",0.108444681818182,0.0512329262266507,"Drug>Neutral","Replication Sample 2",0.00802814641394642,0.208861217222417
"conditiondrug:time2",-0.121118354545454,0.0458241222916091,"Interaction","Replication Sample 2",-0.210933634237008,-0.0313030748539006
"time2",0.0316189227272727,0.0324025476143184,"Time","Replication Sample 2",-0.0318900705967914,0.0951279160513369
"conditiondrug3",-0.00636511363636365,0.0402566436867742,"Drug>Neutral","Sample 2-Retest",-0.0852681352624411,0.0725379079897138
"conditiondrug:time3",0.0271894090909091,0.036006636731846,"Interaction","Sample 2-Retest",-0.043383598903509,0.0977624170853272
"time3",-0.0117086636363636,0.0254605370008089,"Time","Sample 2-Retest",-0.0616113161579491,0.0381939888852218
