"","beta","se","effect","task","lower","upper"
"conditiondrug",0.292492788461539,0.0346041593738255,"Drug>Neutral","Discovery Sample",0.224668636088841,0.360316940834237
"conditiondrug:time",-0.105185653846154,0.0306594952887588,"Interaction","Discovery Sample",-0.165278264612121,-0.0450930430801869
"time",-0.00497849076923076,0.0216795370264383,"Time","Discovery Sample",-0.0474703833410499,0.0375134018025884
"conditiondrug1",0.245648560344829,0.054724661878974,"Drug>Neutral","Replication Sample 1",0.13838822306204,0.352908897627618
"conditiondrug:time1",-0.0732210586206897,0.0406647689434962,"Interaction","Replication Sample 1",-0.152924005749942,0.00648188850856277
"time1",0.0476513965517242,0.0287543338753303,"Time","Replication Sample 1",-0.00870709784392315,0.104009890947371
"conditiondrug2",0.144618625000001,0.0489799624728255,"Drug>Neutral","Replication Sample 2",0.0486178985532628,0.240619351446739
"conditiondrug:time2",-0.126352931818182,0.0438090102498504,"Interaction","Replication Sample 2",-0.212218591907888,-0.0404872717284749
"time2",0.0179174954545454,0.0309776482247402,"Time","Replication Sample 2",-0.0427986950659454,0.0786336859750362
"conditiondrug3",0.0760142045454557,0.0707619316982949,"Drug>Neutral","Sample 2-Retest",-0.0626791815832023,0.214707590674114
"conditiondrug:time3",-0.023320109090909,0.0466675211072335,"Interaction","Sample 2-Retest",-0.114788450461087,0.0681482322792687
"time3",-0.0448747772727273,0.0329989206360912,"Time","Sample 2-Retest",-0.109552661719466,0.0198031071740114
