"","beta","se","effect","task","lower","upper"
"conditiondrug",-0.147296634615385,0.0263647831737942,"Drug>Neutral","Discovery Sample",-0.198971609636021,-0.095621659594748
"conditiondrug:time",-0.00913829076923077,0.0223887852886797,"Interaction","Discovery Sample",-0.0530203099350429,0.0347437283965813
"time",-0.037128996923077,0.015831261900155,"Time","Discovery Sample",-0.0681582702473808,-0.00609972359877317
"conditiondrug1",-0.165468017241379,0.0514641177007845,"Drug>Neutral","Replication Sample 1",-0.266337687934917,-0.0645983465478412
"conditiondrug:time1",-0.0117355862068966,0.0460309062324017,"Interaction","Replication Sample 1",-0.101956162422404,0.0784849900086107
"time1",-0.0131281206896552,0.0325487659410933,"Time","Replication Sample 1",-0.0769237019341981,0.0506674605548878
"conditiondrug2",-0.147928920454546,0.0645788411241289,"Drug>Neutral","Replication Sample 2",-0.274503449057838,-0.0213543918512533
"conditiondrug:time2",-0.0103465227272727,0.0418266246786317,"Interaction","Replication Sample 2",-0.0923267070973909,0.0716336616428455
"time2",-0.0256638,0.0295758899444051,"Time","Replication Sample 2",-0.083632544291034,0.032304944291034
"conditiondrug3",-0.161469659090909,0.0592278020988907,"Drug>Neutral","Sample 2-Retest",-0.277556151204735,-0.0453831669770835
"conditiondrug:time3",-0.00548146363636359,0.0466897406906408,"Interaction","Sample 2-Retest",-0.0969933553900196,0.0860304281172924
"time3",-0.0165601863636364,0.0330146322541936,"Time","Sample 2-Retest",-0.0812688655818559,0.0481484928545831
