"","beta","se","effect","task","lower","upper"
"conditiondrug",0.166130346153846,0.0221937592308475,"Drug>Neutral","Discovery Sample",0.122630578061385,0.209630114246307
"conditiondrug:time",-0.000602892307692289,0.0198507017265754,"Interaction","Discovery Sample",-0.0395102676917801,0.0383044830763955
"time",0.00491754307692309,0.014036565802173,"Time","Discovery Sample",-0.0225941258953359,0.0324292120491821
"conditiondrug1",0.131412224137931,0.0433908960533549,"Drug>Neutral","Replication Sample 1",0.0463660678733555,0.216458380402507
"conditiondrug:time1",-0.037539924137931,0.0379327443792852,"Interaction","Replication Sample 1",-0.11188810312133,0.0368082548454679
"time1",0.0159870103448276,0.0268225007796084,"Time","Replication Sample 1",-0.0365850911832049,0.0685591118728601
"conditiondrug2",0.117333045454545,0.057138384041944,"Drug>Neutral","Replication Sample 2",0.00534181273233497,0.229324278176756
"conditiondrug:time2",-0.0427164818181818,0.0392512704394926,"Interaction","Replication Sample 2",-0.119648971879587,0.0342160082432237
"time2",0.02198885,0.0277548394979523,"Time","Replication Sample 2",-0.0324106354159865,0.0763883354159865
"conditiondrug3",0.0758550340909086,0.0571376349277873,"Drug>Neutral","Sample 2-Retest",-0.0361347303675546,0.187844798549372
"conditiondrug:time3",0.0579963409090909,0.0367583029484605,"Interaction","Sample 2-Retest",-0.0140499328698918,0.130042614688074
"time3",-0.0398094863636363,0.0259920452797659,"Time","Sample 2-Retest",-0.0907538951119775,0.0111349223847048
