"","beta","se","effect","task","lower","upper"
"conditiondrug",0.106344907692308,0.0214442133000318,"Drug>Neutral","Discovery Sample",0.0643142496242454,0.14837556576037
"conditiondrug:time",-0.0636151384615385,0.0191802874651504,"Interaction","Discovery Sample",-0.101208501893233,-0.0260217750298436
"time",0.0173400030769231,0.0135625113317152,"Time","Discovery Sample",-0.00924251913323873,0.0439225252870849
"conditiondrug1",0.084848077586207,0.0341342918012727,"Drug>Neutral","Replication Sample 1",0.0179448656557126,0.151751289516701
"conditiondrug:time1",-0.0353188655172414,0.0305306387325838,"Interaction","Replication Sample 1",-0.0951589174331055,0.0245211863986228
"time1",0.0164921,0.0215884216817666,"Time","Replication Sample 1",-0.0258212064962626,0.0588054064962626
"conditiondrug2",0.0720881250000001,0.0409228080213754,"Drug>Neutral","Replication Sample 2",-0.00812057872189574,0.152296828721896
"conditiondrug:time2",-0.0964110954545455,0.0366024722263864,"Interaction","Replication Sample 2",-0.168151941018263,-0.0246702498908281
"time2",0.00827002272727273,0.0258818563194701,"Time","Replication Sample 2",-0.0424584156588887,0.0589984611134341
"conditiondrug3",0.0197482045454545,0.0386736728701471,"Drug>Neutral","Sample 2-Retest",-0.0560521942800337,0.0955486033709427
"conditiondrug:time3",0.0275180909090909,0.0345907845908953,"Interaction","Sample 2-Retest",-0.0402798468890639,0.0953160287072457
"time3",-0.0256207,0.0244593783507852,"Time","Sample 2-Retest",-0.073561081567539,0.022319681567539
