"","beta","se","effect","task","lower","upper"
"conditiondrug",0.192116134615385,0.0421601094896317,"Drug>Neutral","Discovery Sample",0.109482320015706,0.274749949215063
"conditiondrug:time",-0.181863690769231,0.0365863592808202,"Interaction","Discovery Sample",-0.253572954959638,-0.110154426578823
"time",0.0513977338461538,0.0258704627463954,"Time","Discovery Sample",0.000691626863218914,0.102103840829089
"conditiondrug1",0.186543974137931,0.059997019766546,"Drug>Neutral","Replication Sample 1",0.0689498153955009,0.304138132880361
"conditiondrug:time1",-0.135630251724138,0.0532289044128115,"Interaction","Replication Sample 1",-0.239958904373248,-0.0313015990750274
"time1",0.0837184344827586,0.0376385192654296,"Time","Replication Sample 1",0.00994693672251667,0.157489932243001
"conditiondrug2",0.144763545454546,0.0758690906184174,"Drug>Neutral","Replication Sample 2",-0.00393987215755254,0.293466963066644
"conditiondrug:time2",-0.219907790909091,0.0678593776055492,"Interaction","Replication Sample 2",-0.352912171015967,-0.0869034108022146
"time2",0.0656171954545454,0.0479838260719823,"Time","Replication Sample 2",-0.02843110364654,0.159665494555631
"conditiondrug3",-0.0194265909090909,0.0724155195879305,"Drug>Neutral","Sample 2-Retest",-0.161361009301435,0.122507827483253
"conditiondrug:time3",-0.0232163363636364,0.064770409769832,"Interaction","Sample 2-Retest",-0.150166339512507,0.103733666785234
"time3",0.00603637727272727,0.0457995959684796,"Time","Sample 2-Retest",-0.0837308308254928,0.0958035853709474
